datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2025 5:00:00 AM,1/1/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,12464.698,True
1/1/2025 6:00:00 AM,1/1/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,12350.936,True
1/1/2025 7:00:00 AM,1/1/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,12218.446,True
1/1/2025 8:00:00 AM,1/1/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,12219.991,True
1/1/2025 9:00:00 AM,1/1/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,12352.585,True
1/1/2025 10:00:00 AM,1/1/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,12674.883,True
1/1/2025 11:00:00 AM,1/1/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,13079.589,True
1/1/2025 12:00:00 PM,1/1/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,13435.150,True
1/1/2025 1:00:00 PM,1/1/2025 8:00:00 AM,SERC,SOUTH,DOM,DOM,13374.739,True
1/1/2025 2:00:00 PM,1/1/2025 9:00:00 AM,SERC,SOUTH,DOM,DOM,13173.380,True
1/1/2025 3:00:00 PM,1/1/2025 10:00:00 AM,SERC,SOUTH,DOM,DOM,13063.664,True
1/1/2025 4:00:00 PM,1/1/2025 11:00:00 AM,SERC,SOUTH,DOM,DOM,13054.564,True
1/1/2025 5:00:00 PM,1/1/2025 12:00:00 PM,SERC,SOUTH,DOM,DOM,13023.794,True
1/1/2025 6:00:00 PM,1/1/2025 1:00:00 PM,SERC,SOUTH,DOM,DOM,12974.887,True
1/1/2025 7:00:00 PM,1/1/2025 2:00:00 PM,SERC,SOUTH,DOM,DOM,13061.560,True
1/1/2025 8:00:00 PM,1/1/2025 3:00:00 PM,SERC,SOUTH,DOM,DOM,13391.282,True
1/1/2025 9:00:00 PM,1/1/2025 4:00:00 PM,SERC,SOUTH,DOM,DOM,14164.206,True
1/1/2025 10:00:00 PM,1/1/2025 5:00:00 PM,SERC,SOUTH,DOM,DOM,15121.233,True
1/1/2025 11:00:00 PM,1/1/2025 6:00:00 PM,SERC,SOUTH,DOM,DOM,15341.188,True
1/2/2025 12:00:00 AM,1/1/2025 7:00:00 PM,SERC,SOUTH,DOM,DOM,15291.972,True
1/2/2025 1:00:00 AM,1/1/2025 8:00:00 PM,SERC,SOUTH,DOM,DOM,15138.094,True
1/2/2025 2:00:00 AM,1/1/2025 9:00:00 PM,SERC,SOUTH,DOM,DOM,15036.234,True
1/2/2025 3:00:00 AM,1/1/2025 10:00:00 PM,SERC,SOUTH,DOM,DOM,14657.575,True
1/2/2025 4:00:00 AM,1/1/2025 11:00:00 PM,SERC,SOUTH,DOM,DOM,14401.645,True
1/2/2025 5:00:00 AM,1/2/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,14263.760,True
1/2/2025 6:00:00 AM,1/2/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,14116.009,True
1/2/2025 7:00:00 AM,1/2/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,14208.800,True
1/2/2025 8:00:00 AM,1/2/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,14361.493,True
1/2/2025 9:00:00 AM,1/2/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,14763.648,True
1/2/2025 10:00:00 AM,1/2/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,15499.265,True
1/2/2025 11:00:00 AM,1/2/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,16435.073,True
1/2/2025 12:00:00 PM,1/2/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,17105.747,True
1/2/2025 1:00:00 PM,1/2/2025 8:00:00 AM,SERC,SOUTH,DOM,DOM,16932.929,True
1/2/2025 2:00:00 PM,1/2/2025 9:00:00 AM,SERC,SOUTH,DOM,DOM,16290.259,True
1/2/2025 3:00:00 PM,1/2/2025 10:00:00 AM,SERC,SOUTH,DOM,DOM,15902.494,True
1/2/2025 4:00:00 PM,1/2/2025 11:00:00 AM,SERC,SOUTH,DOM,DOM,15546.325,True
1/2/2025 5:00:00 PM,1/2/2025 12:00:00 PM,SERC,SOUTH,DOM,DOM,15174.086,True
1/2/2025 6:00:00 PM,1/2/2025 1:00:00 PM,SERC,SOUTH,DOM,DOM,14860.655,True
1/2/2025 7:00:00 PM,1/2/2025 2:00:00 PM,SERC,SOUTH,DOM,DOM,14815.782,True
1/2/2025 8:00:00 PM,1/2/2025 3:00:00 PM,SERC,SOUTH,DOM,DOM,15102.869,True
1/2/2025 9:00:00 PM,1/2/2025 4:00:00 PM,SERC,SOUTH,DOM,DOM,15784.028,True
1/2/2025 10:00:00 PM,1/2/2025 5:00:00 PM,SERC,SOUTH,DOM,DOM,16896.879,True
1/2/2025 11:00:00 PM,1/2/2025 6:00:00 PM,SERC,SOUTH,DOM,DOM,17170.123,True
1/3/2025 12:00:00 AM,1/2/2025 7:00:00 PM,SERC,SOUTH,DOM,DOM,17258.717,True
1/3/2025 1:00:00 AM,1/2/2025 8:00:00 PM,SERC,SOUTH,DOM,DOM,17179.490,True
1/3/2025 2:00:00 AM,1/2/2025 9:00:00 PM,SERC,SOUTH,DOM,DOM,16851.037,True
1/3/2025 3:00:00 AM,1/2/2025 10:00:00 PM,SERC,SOUTH,DOM,DOM,16433.561,True
1/3/2025 4:00:00 AM,1/2/2025 11:00:00 PM,SERC,SOUTH,DOM,DOM,15955.004,True
1/3/2025 5:00:00 AM,1/3/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,15744.786,True
1/3/2025 6:00:00 AM,1/3/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,15633.315,True
1/3/2025 7:00:00 AM,1/3/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,15707.228,True
1/3/2025 8:00:00 AM,1/3/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,15888.250,True
1/3/2025 9:00:00 AM,1/3/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,16268.923,True
1/3/2025 10:00:00 AM,1/3/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,16884.006,True
1/3/2025 11:00:00 AM,1/3/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,17589.173,True
1/3/2025 12:00:00 PM,1/3/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,18073.454,True
1/3/2025 1:00:00 PM,1/3/2025 8:00:00 AM,SERC,SOUTH,DOM,DOM,18068.208,True
1/3/2025 2:00:00 PM,1/3/2025 9:00:00 AM,SERC,SOUTH,DOM,DOM,17293.050,True
1/3/2025 3:00:00 PM,1/3/2025 10:00:00 AM,SERC,SOUTH,DOM,DOM,16602.236,True
1/3/2025 4:00:00 PM,1/3/2025 11:00:00 AM,SERC,SOUTH,DOM,DOM,16206.090,True
1/3/2025 5:00:00 PM,1/3/2025 12:00:00 PM,SERC,SOUTH,DOM,DOM,15910.257,True
1/3/2025 6:00:00 PM,1/3/2025 1:00:00 PM,SERC,SOUTH,DOM,DOM,15665.175,True
1/3/2025 7:00:00 PM,1/3/2025 2:00:00 PM,SERC,SOUTH,DOM,DOM,15615.308,True
1/3/2025 8:00:00 PM,1/3/2025 3:00:00 PM,SERC,SOUTH,DOM,DOM,16053.387,True
1/3/2025 9:00:00 PM,1/3/2025 4:00:00 PM,SERC,SOUTH,DOM,DOM,16666.084,True
1/3/2025 10:00:00 PM,1/3/2025 5:00:00 PM,SERC,SOUTH,DOM,DOM,17462.803,True
1/3/2025 11:00:00 PM,1/3/2025 6:00:00 PM,SERC,SOUTH,DOM,DOM,17668.738,True
1/4/2025 12:00:00 AM,1/3/2025 7:00:00 PM,SERC,SOUTH,DOM,DOM,17695.486,True
1/4/2025 1:00:00 AM,1/3/2025 8:00:00 PM,SERC,SOUTH,DOM,DOM,17717.978,True
1/4/2025 2:00:00 AM,1/3/2025 9:00:00 PM,SERC,SOUTH,DOM,DOM,17597.091,True
1/4/2025 3:00:00 AM,1/3/2025 10:00:00 PM,SERC,SOUTH,DOM,DOM,17320.630,True
1/4/2025 4:00:00 AM,1/3/2025 11:00:00 PM,SERC,SOUTH,DOM,DOM,17058.835,True
1/4/2025 5:00:00 AM,1/4/2025 12:00:00 AM,SERC,SOUTH,DOM,DOM,16856.456,True
1/4/2025 6:00:00 AM,1/4/2025 1:00:00 AM,SERC,SOUTH,DOM,DOM,16736.541,True
1/4/2025 7:00:00 AM,1/4/2025 2:00:00 AM,SERC,SOUTH,DOM,DOM,16736.417,True
1/4/2025 8:00:00 AM,1/4/2025 3:00:00 AM,SERC,SOUTH,DOM,DOM,16853.701,True
1/4/2025 9:00:00 AM,1/4/2025 4:00:00 AM,SERC,SOUTH,DOM,DOM,17068.824,True
1/4/2025 10:00:00 AM,1/4/2025 5:00:00 AM,SERC,SOUTH,DOM,DOM,17498.161,True
1/4/2025 11:00:00 AM,1/4/2025 6:00:00 AM,SERC,SOUTH,DOM,DOM,18003.427,True
1/4/2025 12:00:00 PM,1/4/2025 7:00:00 AM,SERC,SOUTH,DOM,DOM,18514.504,True
1/4/2025 1:00:00 PM,1/4/2025 8:00:00 AM,SERC,SOUTH,DOM,DOM,18396.633,True
1/4/2025 2:00:00 PM,1/4/2025 9:00:00 AM,SERC,SOUTH,DOM,DOM,17744.775,True
1/4/2025 3:00:00 PM,1/4/2025 10:00:00 AM,SERC,SOUTH,DOM,DOM,17268.437,True
1/4/2025 4:00:00 PM,1/4/2025 11:00:00 AM,SERC,SOUTH,DOM,DOM,16947.474,True
