datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PE,PE,3839.291,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PE,PE,3725.909,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PE,PE,3642.788,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PE,PE,3598.126,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PE,PE,3635.300,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,MIDATL,PE,PE,3762.679,True
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RFC,MIDATL,PE,PE,3783.652,True
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,RFC,MIDATL,PE,PE,3849.730,True
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RFC,MIDATL,PE,PE,3925.911,True
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,RFC,MIDATL,PE,PE,4039.100,True
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,RFC,MIDATL,PE,PE,4045.554,True
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,RFC,MIDATL,PE,PE,4135.354,True
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,RFC,MIDATL,PE,PE,4234.016,True
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,RFC,MIDATL,PE,PE,4314.831,True
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,RFC,MIDATL,PE,PE,4376.284,True
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,RFC,MIDATL,PE,PE,4348.165,True
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,RFC,MIDATL,PE,PE,4508.683,True
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RFC,MIDATL,PE,PE,4733.583,True
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RFC,MIDATL,PE,PE,4703.667,True
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RFC,MIDATL,PE,PE,4614.777,True
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RFC,MIDATL,PE,PE,4502.805,True
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RFC,MIDATL,PE,PE,4303.450,True
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RFC,MIDATL,PE,PE,4104.400,True
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RFC,MIDATL,PE,PE,3970.859,True
1/2/2024 5:00:00 AM,1/2/2024 12:00:00 AM,RFC,MIDATL,PE,PE,3847.383,True
1/2/2024 6:00:00 AM,1/2/2024 1:00:00 AM,RFC,MIDATL,PE,PE,3800.378,True
1/2/2024 7:00:00 AM,1/2/2024 2:00:00 AM,RFC,MIDATL,PE,PE,3768.232,True
1/2/2024 8:00:00 AM,1/2/2024 3:00:00 AM,RFC,MIDATL,PE,PE,3774.321,True
1/2/2024 9:00:00 AM,1/2/2024 4:00:00 AM,RFC,MIDATL,PE,PE,3962.143,True
1/2/2024 10:00:00 AM,1/2/2024 5:00:00 AM,RFC,MIDATL,PE,PE,4287.290,True
1/2/2024 11:00:00 AM,1/2/2024 6:00:00 AM,RFC,MIDATL,PE,PE,4583.270,True
1/2/2024 12:00:00 PM,1/2/2024 7:00:00 AM,RFC,MIDATL,PE,PE,4842.469,True
1/2/2024 1:00:00 PM,1/2/2024 8:00:00 AM,RFC,MIDATL,PE,PE,4918.248,True
1/2/2024 2:00:00 PM,1/2/2024 9:00:00 AM,RFC,MIDATL,PE,PE,4867.436,True
1/2/2024 3:00:00 PM,1/2/2024 10:00:00 AM,RFC,MIDATL,PE,PE,4750.461,True
1/2/2024 4:00:00 PM,1/2/2024 11:00:00 AM,RFC,MIDATL,PE,PE,4666.240,True
