datetime_beginning_utc,datetime_beginning_ept,nerc_region,mkt_region,zone,load_area,mw,is_verified
1/1/2024 5:00:00 AM,1/1/2024 12:00:00 AM,RFC,MIDATL,PN,PN,1655.527,True
1/1/2024 6:00:00 AM,1/1/2024 1:00:00 AM,RFC,MIDATL,PN,PN,1614.702,True
1/1/2024 7:00:00 AM,1/1/2024 2:00:00 AM,RFC,MIDATL,PN,PN,1599.200,True
1/1/2024 8:00:00 AM,1/1/2024 3:00:00 AM,RFC,MIDATL,PN,PN,1586.680,True
1/1/2024 9:00:00 AM,1/1/2024 4:00:00 AM,RFC,MIDATL,PN,PN,1579.220,True
1/1/2024 10:00:00 AM,1/1/2024 5:00:00 AM,RFC,MIDATL,PN,PN,1558.990,True
1/1/2024 11:00:00 AM,1/1/2024 6:00:00 AM,RFC,MIDATL,PN,PN,1612.306,True
1/1/2024 12:00:00 PM,1/1/2024 7:00:00 AM,RFC,MIDATL,PN,PN,1683.748,True
1/1/2024 1:00:00 PM,1/1/2024 8:00:00 AM,RFC,MIDATL,PN,PN,1764.999,True
1/1/2024 2:00:00 PM,1/1/2024 9:00:00 AM,RFC,MIDATL,PN,PN,1817.721,True
1/1/2024 3:00:00 PM,1/1/2024 10:00:00 AM,RFC,MIDATL,PN,PN,1919.130,True
1/1/2024 4:00:00 PM,1/1/2024 11:00:00 AM,RFC,MIDATL,PN,PN,1964.944,True
1/1/2024 5:00:00 PM,1/1/2024 12:00:00 PM,RFC,MIDATL,PN,PN,1972.746,True
1/1/2024 6:00:00 PM,1/1/2024 1:00:00 PM,RFC,MIDATL,PN,PN,1981.604,True
1/1/2024 7:00:00 PM,1/1/2024 2:00:00 PM,RFC,MIDATL,PN,PN,1960.571,True
1/1/2024 8:00:00 PM,1/1/2024 3:00:00 PM,RFC,MIDATL,PN,PN,1960.776,True
1/1/2024 9:00:00 PM,1/1/2024 4:00:00 PM,RFC,MIDATL,PN,PN,2008.193,True
1/1/2024 10:00:00 PM,1/1/2024 5:00:00 PM,RFC,MIDATL,PN,PN,2082.553,True
1/1/2024 11:00:00 PM,1/1/2024 6:00:00 PM,RFC,MIDATL,PN,PN,2041.922,True
1/2/2024 12:00:00 AM,1/1/2024 7:00:00 PM,RFC,MIDATL,PN,PN,2039.349,True
1/2/2024 1:00:00 AM,1/1/2024 8:00:00 PM,RFC,MIDATL,PN,PN,1999.283,True
1/2/2024 2:00:00 AM,1/1/2024 9:00:00 PM,RFC,MIDATL,PN,PN,1952.523,True
1/2/2024 3:00:00 AM,1/1/2024 10:00:00 PM,RFC,MIDATL,PN,PN,1860.132,True
1/2/2024 4:00:00 AM,1/1/2024 11:00:00 PM,RFC,MIDATL,PN,PN,1777.183,True
