latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.33216,-74.35861,20.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day (),sunshine_duration (s),wind_gusts_10m (km/h),snowfall (cm),snow_depth (m)
2022-01-01T00:00,9.0,8.5,6.9,0.00,3,100,11.6,0.0,0,0.00,23.4,0.00,0.00
2022-01-01T01:00,9.1,8.6,7.4,0.00,3,100,8.7,0.0,0,0.00,13.3,0.00,0.00
2022-01-01T02:00,9.3,8.7,6.9,0.10,51,100,13.8,0.0,0,0.00,15.1,0.00,0.00
2022-01-01T03:00,9.2,8.6,6.0,0.00,3,100,19.0,0.0,0,0.00,22.7,0.00,0.00
2022-01-01T04:00,9.4,8.8,5.9,1.10,55,100,21.5,0.0,0,0.00,25.9,0.00,0.00
2022-01-01T05:00,9.8,9.1,6.1,0.30,51,100,23.2,0.0,0,0.00,30.2,0.00,0.00
2022-01-01T06:00,10.0,9.2,5.5,0.60,53,100,29.5,0.0,0,0.00,36.0,0.00,0.00
2022-01-01T07:00,10.3,9.4,6.1,0.00,3,100,27.3,0.0,0,0.00,37.1,0.00,0.00
2022-01-01T08:00,10.4,9.3,6.9,0.40,51,100,22.9,0.0,0,0.00,35.6,0.00,0.00
2022-01-01T09:00,10.6,9.3,6.3,0.00,3,100,28.3,0.0,0,0.00,33.5,0.00,0.00
2022-01-01T10:00,10.7,9.6,6.3,0.00,3,100,29.3,0.0,0,0.00,38.9,0.00,0.00
2022-01-01T11:00,10.4,9.7,6.4,0.10,51,100,27.0,0.0,0,0.00,36.4,0.00,0.00
2022-01-01T12:00,10.2,10.1,6.8,0.00,3,100,23.6,0.0,0,0.00,33.5,0.00,0.00
2022-01-01T13:00,9.9,9.8,7.0,0.10,51,100,19.5,11.0,1,0.00,28.8,0.00,0.00
2022-01-01T14:00,9.9,9.8,7.0,0.40,51,100,19.7,21.0,1,0.00,25.2,0.00,0.00
2022-01-01T15:00,10.0,9.8,7.1,0.50,53,100,19.2,43.0,1,0.00,23.8,0.00,0.00
2022-01-01T16:00,9.4,9.1,7.8,0.50,53,100,9.2,54.0,1,0.00,22.7,0.00,0.00
2022-01-01T17:00,9.5,9.3,8.4,0.50,53,100,6.5,119.0,1,0.00,10.1,0.00,0.00
2022-01-01T18:00,9.4,9.2,7.3,0.70,53,100,13.0,110.0,1,0.00,15.8,0.00,0.00
2022-01-01T19:00,9.2,8.8,7.6,0.50,53,100,8.7,135.0,1,0.00,15.1,0.00,0.00
2022-01-01T20:00,9.6,9.2,8.7,0.30,51,100,4.9,93.0,1,0.00,11.2,0.00,0.00
2022-01-01T21:00,9.5,9.2,7.3,0.10,51,100,13.6,55.0,1,0.00,13.7,0.00,0.00
2022-01-01T22:00,9.6,9.5,7.5,0.10,51,100,13.5,9.0,0,0.00,18.7,0.00,0.00
