latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
37.57469,-77.399994,55.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day (),sunshine_duration (s),wind_gusts_10m (km/h),snowfall (cm),snow_depth (m)
2022-01-01T00:00,13.7,11.1,12.5,0.00,2,60,10.1,0.0,0,0.00,21.2,0.00,0.00
2022-01-01T01:00,13.8,12.0,12.1,2.40,61,100,15.5,0.0,0,0.00,39.6,0.00,0.00
2022-01-01T02:00,13.6,12.3,12.2,0.60,53,100,14.5,0.0,0,0.00,27.7,0.00,0.00
2022-01-01T03:00,13.7,12.5,12.5,0.00,3,100,13.3,0.0,0,0.00,26.3,0.00,0.00
2022-01-01T04:00,13.9,13.0,12.9,0.00,3,100,12.9,0.0,0,0.00,24.1,0.00,0.00
2022-01-01T05:00,14.2,13.5,13.5,0.00,3,100,12.1,0.0,0,0.00,23.4,0.00,0.00
2022-01-01T06:00,14.7,14.1,14.1,0.00,3,100,13.6,0.0,0,0.00,24.5,0.00,0.00
2022-01-01T07:00,15.2,14.4,14.7,0.00,3,97,13.5,0.0,0,0.00,25.6,0.00,0.00
2022-01-01T08:00,15.2,14.4,14.8,0.00,3,100,12.3,0.0,0,0.00,25.2,0.00,0.00
2022-01-01T09:00,15.3,14.6,15.0,0.00,3,100,12.5,0.0,0,0.00,23.4,0.00,0.00
2022-01-01T10:00,15.3,14.5,15.1,0.00,3,100,11.5,0.0,0,0.00,23.0,0.00,0.00
2022-01-01T11:00,15.3,14.6,15.2,0.00,3,100,10.7,0.0,0,0.00,20.9,0.00,0.00
2022-01-01T12:00,15.5,15.3,15.9,0.00,3,100,9.1,0.0,0,0.00,19.1,0.00,0.00
2022-01-01T13:00,15.7,15.5,16.2,0.20,51,100,9.4,3.0,1,0.00,17.6,0.00,0.00
2022-01-01T14:00,16.2,16.0,16.8,0.20,51,100,9.6,23.0,1,0.00,17.3,0.00,0.00
2022-01-01T15:00,16.8,16.6,17.6,2.80,63,100,10.1,60.0,1,0.00,24.8,0.00,0.00
2022-01-01T16:00,17.8,17.4,18.6,0.30,51,100,12.7,72.0,1,0.00,23.0,0.00,0.00
2022-01-01T17:00,18.9,18.2,19.8,0.10,51,100,14.4,113.0,1,0.00,25.9,0.00,0.00
2022-01-01T18:00,20.1,19.2,21.5,0.00,3,100,14.2,136.0,1,0.00,25.6,0.00,0.00
