latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.910366,-77.07251,31.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day (),sunshine_duration (s),wind_gusts_10m (km/h),snowfall (cm),snow_depth (m)
2022-01-01T00:00,11.4,10.7,10.6,0.00,3,92,6.8,0.0,0,0.00,11.9,0.00,0.00
2022-01-01T01:00,11.3,10.7,10.9,1.00,55,100,4.6,0.0,0,0.00,12.2,0.00,0.00
2022-01-01T02:00,11.8,11.1,11.0,0.00,3,100,7.8,0.0,0,0.00,12.2,0.00,0.00
2022-01-01T03:00,12.5,11.4,11.0,0.00,3,100,13.3,0.0,0,0.00,22.3,0.00,0.00
2022-01-01T04:00,12.4,11.3,10.9,2.50,63,100,13.6,0.0,0,0.00,27.7,0.00,0.00
2022-01-01T05:00,12.2,11.4,11.3,0.00,3,100,9.4,0.0,0,0.00,24.1,0.00,0.00
2022-01-01T06:00,11.8,11.2,11.3,0.00,3,100,6.1,0.0,0,0.00,16.2,0.00,0.00
2022-01-01T07:00,11.5,11.1,10.6,0.00,3,100,8.6,0.0,0,0.00,15.5,0.00,0.00
2022-01-01T08:00,11.8,11.5,11.1,0.00,3,100,7.9,0.0,0,0.00,16.9,0.00,0.00
2022-01-01T09:00,11.7,11.5,10.9,0.00,3,100,8.4,0.0,0,0.00,14.4,0.00,0.00
2022-01-01T10:00,12.3,11.9,11.5,0.00,3,100,10.0,0.0,0,0.00,17.6,0.00,0.00
2022-01-01T11:00,12.7,12.1,11.8,0.20,51,100,10.7,0.0,0,0.00,19.8,0.00,0.00
2022-01-01T12:00,13.4,13.2,13.3,0.80,53,100,7.9,0.0,0,0.00,19.1,0.00,0.00
2022-01-01T13:00,13.5,13.3,13.7,2.10,61,100,5.9,1.0,1,0.00,14.0,0.00,0.00
2022-01-01T14:00,13.5,13.3,13.6,2.60,63,100,6.3,6.0,1,0.00,10.4,0.00,0.00
2022-01-01T15:00,13.4,13.4,13.9,2.40,61,100,4.3,17.0,1,0.00,8.6,0.00,0.00
2022-01-01T16:00,13.6,13.4,14.0,3.50,63,100,4.4,22.0,1,0.00,8.6,0.00,0.00
2022-01-01T17:00,14.2,14.1,14.9,1.70,61,100,4.4,47.0,1,0.00,10.8,0.00,0.00
2022-01-01T18:00,14.6,14.3,15.8,2.10,61,100,1.0,63.0,1,0.00,7.6,0.00,0.00
2022-01-01T19:00,15.3,14.6,16.1,0.10,51,100,4.6,114.0,1,0.00,9.7,0.00,0.00
2022-01-01T20:00,14.9,14.5,15.4,0.10,51,100,6.5,36.0,1,0.00,12.2,0.00,0.00
2022-01-01T21:00,14.7,14.5,15.3,0.00,3,100,5.9,15.0,1,0.00,12.2,0.00,0.00
2022-01-01T22:00,14.9,14.7,15.4,0.00,3,100,6.9,5.0,0,0.00,12.6,0.00,0.00
2022-01-01T23:00,15.3,15.0,15.7,0.00,3,100,8.6,0.0,0,0.00,15.5,0.00,0.00
2022-01-02T00:00,14.1,13.9,14.5,0.00,3,100,5.9,0.0,0,0.00,18.4,0.00,0.00
2022-01-02T01:00,15.2,14.9,15.5,0.70,53,100,9.2,0.0,0,0.00,16.9,0.00,0.00
2022-01-02T02:00,17.5,16.2,17.3,0.50,53,100,16.4,0.0,0,0.00,40.3,0.00,0.00
2022-01-02T03:00,15.3,14.2,14.9,3.10,63,100,11.7,0.0,0,0.00,42.5,0.00,0.00
2022-01-02T04:00,14.5,13.6,15.0,0.40,51,100,4.3,0.0,0,0.00,19.4,0.00,0.00
2022-01-02T05:00,14.2,13.4,14.0,1.00,55,100,8.9,0.0,0,0.00,17.6,0.00,0.00
2022-01-02T06:00,13.9,13.0,13.9,0.10,51,100,6.9,0.0,0,0.00,16.6,0.00,0.00
2022-01-02T07:00,13.3,12.7,13.6,0.00,3,100,3.9,0.0,0,0.00,12.2,0.00,0.00
2022-01-02T08:00,13.3,12.6,13.3,1.10,55,100,5.5,0.0,0,0.00,10.8,0.00,0.00
2022-01-02T09:00,13.2,12.4,12.9,2.40,61,100,7.2,0.0,0,0.00,12.6,0.00,0.00
2022-01-02T10:00,13.1,12.4,12.5,4.70,63,100,9.4,0.0,0,0.00,13.3,0.00,0.00
2022-01-02T11:00,13.3,12.3,12.9,1.90,61,100,7.6,0.0,0,0.00,19.4,0.00,0.00
2022-01-02T12:00,13.5,12.8,13.3,0.50,53,100,7.7,0.0,0,0.00,19.4,0.00,0.00
2022-01-02T13:00,14.2,13.1,13.6,0.00,3,100,10.7,2.0,1,0.00,20.2,0.00,0.00
2022-01-02T14:00,14.7,13.6,14.2,0.00,3,100,11.1,43.0,1,0.00,19.1,0.00,0.00
2022-01-02T15:00,15.3,14.0,14.9,0.00,3,100,11.5,93.0,1,0.00,22.3,0.00,0.00
2022-01-02T16:00,16.3,14.6,16.4,0.00,3,100,9.4,160.0,1,0.00,20.5,0.00,0.00
2022-01-02T17:00,17.3,14.8,17.5,0.00,3,100,9.6,210.0,1,0.00,20.9,0.00,0.00
2022-01-02T18:00,18.7,14.4,18.7,0.00,3,100,10.0,281.0,1,2359.97,21.6,0.00,0.00
2022-01-02T19:00,18.6,13.3,18.1,0.00,3,100,10.4,164.0,1,0.00,21.2,0.00,0.00
2022-01-02T20:00,18.3,12.9,17.5,0.00,3,100,12.1,140.0,1,0.00,22.7,0.00,0.00
2022-01-02T21:00,16.8,12.2,15.5,0.10,51,100,13.2,80.0,1,0.00,25.6,0.00,0.00
2022-01-02T22:00,15.1,9.9,12.1,0.00,3,100,20.0,15.0,0,0.00,36.7,0.00,0.00
2022-01-02T23:00,12.7,6.2,8.3,0.00,3,100,23.6,0.0,0,0.00,45.0,0.00,0.00
2022-01-03T00:00,12.5,7.1,9.1,0.00,3,100,18.2,0.0,0,0.00,45.7,0.00,0.00
2022-01-03T01:00,11.0,4.2,6.4,0.00,3,100,22.4,0.0,0,0.00,43.2,0.00,0.00
2022-01-03T02:00,9.9,3.0,5.7,0.00,3,100,18.1,0.0,0,0.00,42.8,0.00,0.00
2022-01-03T03:00,8.9,2.0,4.5,0.00,3,100,18.1,0.0,0,0.00,37.8,0.00,0.00
2022-01-03T04:00,8.0,0.9,3.6,0.00,3,100,16.5,0.0,0,0.00,34.2,0.00,0.00
2022-01-03T05:00,7.1,-0.3,2.8,0.00,3,100,14.4,0.0,0,0.00,32.0,0.00,0.00
2022-01-03T06:00,6.7,1.2,2.7,0.10,51,100,14.1,0.0,0,0.00,27.4,0.00,0.00
2022-01-03T07:00,4.8,-0.1,-0.2,0.60,53,100,19.7,0.0,0,0.00,37.1,0.00,0.00
2022-01-03T08:00,2.6,1.4,-1.3,0.90,73,100,13.8,0.0,0,0.00,37.8,0.21,0.00
2022-01-03T09:00,2.1,-1.0,-1.9,0.80,73,100,11.5,0.0,0,0.00,26.6,0.49,0.00
2022-01-03T10:00,1.2,-1.8,-3.2,1.50,75,100,14.3,0.0,0,0.00,27.7,1.05,0.01
2022-01-03T11:00,0.4,-2.7,-4.7,1.70,75,100,18.3,0.0,0,0.00,34.9,1.19,0.02
2022-01-03T12:00,0.5,-1.2,-4.2,1.40,75,100,16.4,0.0,0,0.00,38.2,0.98,0.04
2022-01-03T13:00,0.2,-1.3,-4.4,3.40,75,100,15.9,0.0,1,0.00,31.7,2.38,0.06
2022-01-03T14:00,-0.4,-1.5,-5.3,4.40,75,100,18.1,5.0,1,0.00,37.1,3.08,0.09
2022-01-03T15:00,-1.1,-2.4,-6.5,4.50,75,100,20.2,19.0,1,0.00,38.9,3.15,0.11
2022-01-03T16:00,-1.4,-3.5,-6.7,2.10,75,100,18.7,72.0,1,0.00,38.5,1.47,0.13
2022-01-03T17:00,-1.4,-4.9,-7.9,0.50,73,100,25.2,136.0,1,0.00,49.3,0.35,0.15
2022-01-03T18:00,-1.9,-6.3,-8.4,0.30,73,99,24.3,153.0,1,0.00,50.0,0.21,0.16
2022-01-03T19:00,-1.5,-7.6,-7.7,0.20,71,25,22.1,176.0,1,143.37,47.5,0.14,0.16
2022-01-03T20:00,-0.4,-8.5,-6.3,0.00,3,98,19.0,279.0,1,3600.00,46.8,0.00,0.16
2022-01-03T21:00,-0.4,-8.3,-5.7,0.00,0,0,14.7,146.0,1,3025.17,37.1,0.00,0.16
2022-01-03T22:00,-2.1,-8.5,-7.0,0.00,0,0,12.1,48.0,0,1712.93,29.9,0.00,0.16
2022-01-03T23:00,-3.9,-8.8,-8.6,0.00,0,0,10.2,0.0,0,0.00,23.4,0.00,0.16
2022-01-04T00:00,-3.4,-8.1,-8.7,0.00,0,0,14.8,0.0,0,0.00,21.6,0.00,0.16
2022-01-04T01:00,-4.5,-8.6,-9.1,0.00,0,0,10.5,0.0,0,0.00,26.3,0.00,0.16
2022-01-04T02:00,-5.3,-8.6,-10.0,0.00,0,0,10.9,0.0,0,0.00,19.4,0.00,0.16
2022-01-04T03:00,-4.5,-8.3,-9.7,0.00,0,0,14.3,0.0,0,0.00,25.6,0.00,0.16
2022-01-04T04:00,-3.9,-8.1,-9.4,0.00,0,0,16.4,0.0,0,0.00,30.2,0.00,0.16
2022-01-04T05:00,-4.1,-8.2,-9.7,0.00,0,0,17.1,0.0,0,0.00,32.8,0.00,0.16
