latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.964848,-74.16199,20.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day (),sunshine_duration (s),wind_gusts_10m (km/h),snowfall (cm),snow_depth (m)
2022-01-01T00:00,8.2,7.9,6.8,0.00,3,100,5.5,0.0,0,0.00,23.4,0.00,0.00
2022-01-01T01:00,8.3,8.0,6.5,0.00,3,100,8.4,0.0,0,0.00,14.0,0.00,0.00
2022-01-01T02:00,8.7,8.0,6.6,0.00,3,100,10.5,0.0,0,0.00,18.0,0.00,0.00
2022-01-01T03:00,8.5,7.9,6.3,0.00,3,100,11.3,0.0,0,0.00,18.7,0.00,0.00
2022-01-01T04:00,9.1,8.5,6.7,0.00,3,100,13.7,0.0,0,0.00,23.4,0.00,0.00
2022-01-01T05:00,9.3,8.9,6.8,0.00,3,100,14.9,0.0,0,0.00,25.6,0.00,0.00
2022-01-01T06:00,9.6,9.1,7.6,0.00,3,100,12.0,0.0,0,0.00,25.6,0.00,0.00
2022-01-01T07:00,9.6,9.1,8.0,0.00,3,100,9.4,0.0,0,0.00,20.2,0.00,0.00
2022-01-01T08:00,9.8,9.4,7.5,1.20,55,100,14.6,0.0,0,0.00,25.6,0.00,0.00
2022-01-01T09:00,10.1,9.6,8.3,1.40,61,100,11.5,0.0,0,0.00,24.8,0.00,0.00
2022-01-01T10:00,10.3,9.7,8.0,0.00,3,100,14.8,0.0,0,0.00,25.2,0.00,0.00
2022-01-01T11:00,10.8,10.0,8.7,0.00,3,100,14.6,0.0,0,0.00,27.4,0.00,0.00
2022-01-01T12:00,11.3,11.0,10.3,0.00,3,100,9.0,0.0,0,0.00,24.8,0.00,0.00
2022-01-01T13:00,11.7,11.4,10.7,0.50,53,100,9.7,4.0,1,0.00,15.8,0.00,0.00
2022-01-01T14:00,12.0,11.6,11.1,2.00,61,100,10.0,15.0,1,0.00,17.3,0.00,0.00
2022-01-01T15:00,12.5,12.0,11.8,2.00,61,100,9.4,23.0,1,0.00,19.4,0.00,0.00
2022-01-01T16:00,12.7,12.3,12.2,1.00,55,100,8.7,35.0,1,0.00,15.5,0.00,0.00
2022-01-01T17:00,12.8,12.5,12.5,0.30,51,100,7.4,42.0,1,0.00,14.8,0.00,0.00
2022-01-01T18:00,13.3,13.1,13.3,0.20,51,100,6.6,79.0,1,0.00,12.6,0.00,0.00
2022-01-01T19:00,13.7,13.4,14.0,0.10,51,100,4.9,93.0,1,0.00,11.5,0.00,0.00
2022-01-01T20:00,14.1,13.8,14.7,0.30,51,100,4.1,97.0,1,0.00,12.2,0.00,0.00
2022-01-01T21:00,13.2,13.2,13.5,0.20,51,100,5.2,56.0,1,0.00,9.4,0.00,0.00
2022-01-01T22:00,11.9,11.9,11.1,0.40,51,100,9.2,5.0,0,0.00,14.8,0.00,0.00
2022-01-01T23:00,11.3,11.3,10.5,0.40,51,100,8.4,0.0,0,0.00,15.1,0.00,0.00
2022-01-02T00:00,11.3,11.2,10.7,0.20,51,100,6.3,0.0,0,0.00,14.4,0.00,0.00
2022-01-02T01:00,11.1,11.0,10.6,1.70,61,100,5.2,0.0,0,0.00,13.0,0.00,0.00
2022-01-02T02:00,10.8,10.7,9.5,0.50,53,100,10.5,0.0,0,0.00,16.6,0.00,0.00
2022-01-02T03:00,10.8,10.8,9.0,0.40,51,100,14.4,0.0,0,0.00,25.2,0.00,0.00
2022-01-02T04:00,12.0,11.9,9.6,1.80,61,100,20.7,0.0,0,0.00,43.6,0.00,0.00
