latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.14411,-80.01459,194.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),shortwave_radiation (W/m²),is_day (),sunshine_duration (s),wind_gusts_10m (km/h),snowfall (cm),snow_depth (m)
2022-01-01T00:00,4.5,3.8,1.7,0.00,3,100,9.0,0.0,0,0.00,7.6,0.00,0.00
2022-01-01T01:00,7.5,6.2,5.3,0.00,3,100,8.0,0.0,0,0.00,13.3,0.00,0.00
2022-01-01T02:00,7.9,6.4,5.2,0.00,3,100,11.8,0.0,0,0.00,19.8,0.00,0.00
2022-01-01T03:00,7.8,6.4,4.4,0.00,3,100,17.2,0.0,0,0.00,30.2,0.00,0.00
2022-01-01T04:00,8.6,6.5,4.6,0.00,3,100,20.8,0.0,0,0.00,36.7,0.00,0.00
2022-01-01T05:00,9.5,7.2,5.7,0.10,51,100,21.2,0.0,0,0.00,37.8,0.00,0.00
2022-01-01T06:00,9.2,7.4,6.3,0.60,53,100,15.1,0.0,0,0.00,38.2,0.00,0.00
2022-01-01T07:00,9.3,8.2,5.9,0.20,51,100,20.0,0.0,0,0.00,34.6,0.00,0.00
2022-01-01T08:00,10.5,9.3,7.2,0.00,3,100,21.0,0.0,0,0.00,36.4,0.00,0.00
2022-01-01T09:00,10.5,9.6,7.6,0.00,3,100,19.2,0.0,0,0.00,36.4,0.00,0.00
2022-01-01T10:00,10.1,9.5,7.5,0.00,3,100,17.0,0.0,0,0.00,33.1,0.00,0.00
2022-01-01T11:00,9.3,9.1,6.6,0.00,3,100,16.6,0.0,0,0.00,29.5,0.00,0.00
2022-01-01T12:00,8.6,8.5,6.5,0.00,3,100,11.2,0.0,0,0.00,28.4,0.00,0.00
2022-01-01T13:00,8.8,8.7,6.6,0.00,3,100,12.7,0.0,1,0.00,21.6,0.00,0.00
2022-01-01T14:00,8.0,8.0,6.0,0.00,3,100,9.7,17.0,1,0.00,21.6,0.00,0.00
2022-01-01T15:00,7.5,7.5,5.4,0.00,3,100,9.9,40.0,1,0.00,19.8,0.00,0.00
2022-01-01T16:00,6.8,6.0,4.5,0.10,51,100,8.7,68.0,1,0.00,18.7,0.00,0.00
