latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
39.33216,-74.35861,20.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),is_day (),shortwave_radiation (W/m²),apparent_temperature (°C)
2022-01-01T00:00,9.0,8.5,0.00,0.00,3,100,11.6,23.4,0,0.0,6.9
2022-01-01T01:00,9.1,8.6,0.00,0.00,3,100,8.7,13.3,0,0.0,7.4
2022-01-01T02:00,9.3,8.7,0.10,0.00,51,100,13.8,15.1,0,0.0,6.9
2022-01-01T03:00,9.2,8.6,0.00,0.00,3,100,19.0,22.7,0,0.0,6.0
2022-01-01T04:00,9.4,8.8,1.10,0.00,55,100,21.5,25.9,0,0.0,5.9
2022-01-01T05:00,9.8,9.1,0.30,0.00,51,100,23.2,30.2,0,0.0,6.1
2022-01-01T06:00,10.0,9.2,0.60,0.00,53,100,29.5,36.0,0,0.0,5.5
2022-01-01T07:00,10.3,9.4,0.00,0.00,3,100,27.3,37.1,0,0.0,6.1
2022-01-01T08:00,10.4,9.3,0.40,0.00,51,100,22.9,35.6,0,0.0,6.9
2022-01-01T09:00,10.6,9.3,0.00,0.00,3,100,28.3,33.5,0,0.0,6.3
2022-01-01T10:00,10.7,9.6,0.00,0.00,3,100,29.3,38.9,0,0.0,6.3
2022-01-01T11:00,10.4,9.7,0.10,0.00,51,100,27.0,36.4,0,0.0,6.4
2022-01-01T12:00,10.2,10.1,0.00,0.00,3,100,23.6,33.5,0,0.0,6.8
2022-01-01T13:00,9.9,9.8,0.10,0.00,51,100,19.5,28.8,1,11.0,7.0
2022-01-01T14:00,9.9,9.8,0.40,0.00,51,100,19.7,25.2,1,21.0,7.0
2022-01-01T15:00,10.0,9.8,0.50,0.00,53,100,19.2,23.8,1,43.0,7.1
2022-01-01T16:00,9.4,9.1,0.50,0.00,53,100,9.2,22.7,1,54.0,7.8
2022-01-01T17:00,9.5,9.3,0.50,0.00,53,100,6.5,10.1,1,119.0,8.4
2022-01-01T18:00,9.4,9.2,0.70,0.00,53,100,13.0,15.8,1,110.0,7.3
2022-01-01T19:00,9.2,8.8,0.50,0.00,53,100,8.7,15.1,1,135.0,7.6
2022-01-01T20:00,9.6,9.2,0.30,0.00,51,100,4.9,11.2,1,93.0,8.7
2022-01-01T21:00,9.5,9.2,0.10,0.00,51,100,13.6,13.7,1,55.0,7.3
2022-01-01T22:00,9.6,9.5,0.10,0.00,51,100,13.5,18.7,0,9.0,7.5
2022-01-01T23:00,10.2,10.1,0.10,0.00,51,100,17.3,18.7,0,0.0,7.7
2022-01-02T00:00,10.6,10.3,0.00,0.00,3,100,24.7,27.4,0,0.0,7.1
2022-01-02T01:00,11.0,10.5,0.10,0.00,51,100,25.7,32.0,0,0.0,7.4
2022-01-02T02:00,11.1,11.1,0.00,0.00,3,100,29.5,36.0,0,0.0,7.1
2022-01-02T03:00,11.2,11.0,0.00,0.00,3,100,33.1,40.0,0,0.0,6.7
2022-01-02T04:00,12.5,11.2,0.00,0.00,3,100,41.1,50.4,0,0.0,6.9
2022-01-02T05:00,13.5,11.6,0.00,0.00,3,100,38.4,53.6,0,0.0,8.4
2022-01-02T06:00,13.8,12.3,0.20,0.00,51,100,30.1,50.0,0,0.0,10.1
2022-01-02T07:00,13.4,12.2,0.00,0.00,3,100,33.5,41.8,0,0.0,9.2
2022-01-02T08:00,13.0,11.8,0.00,0.00,3,100,28.9,41.0,0,0.0,9.3
2022-01-02T09:00,12.7,11.2,0.50,0.00,53,100,27.3,34.9,0,0.0,9.1
2022-01-02T10:00,11.8,10.7,1.90,0.00,61,100,19.1,33.1,0,0.0,9.2
2022-01-02T11:00,11.1,10.2,2.00,0.00,61,100,16.4,24.1,0,0.0,8.8
2022-01-02T12:00,11.3,10.7,2.70,0.00,63,100,23.0,28.4,0,0.0,8.2
