latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
38.910366,-77.07251,31.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),is_day (),shortwave_radiation (W/m²),apparent_temperature (°C)
2022-01-01T00:00,11.4,10.7,0.00,0.00,3,92,6.8,11.9,0,0.0,10.6
2022-01-01T01:00,11.3,10.7,1.00,0.00,55,100,4.6,12.2,0,0.0,10.9
2022-01-01T02:00,11.8,11.1,0.00,0.00,3,100,7.8,12.2,0,0.0,11.0
2022-01-01T03:00,12.5,11.4,0.00,0.00,3,100,13.3,22.3,0,0.0,11.0
2022-01-01T04:00,12.4,11.3,2.50,0.00,63,100,13.6,27.7,0,0.0,10.9
2022-01-01T05:00,12.2,11.4,0.00,0.00,3,100,9.4,24.1,0,0.0,11.3
2022-01-01T06:00,11.8,11.2,0.00,0.00,3,100,6.1,16.2,0,0.0,11.3
2022-01-01T07:00,11.5,11.1,0.00,0.00,3,100,8.6,15.5,0,0.0,10.6
2022-01-01T08:00,11.8,11.5,0.00,0.00,3,100,7.9,16.9,0,0.0,11.1
2022-01-01T09:00,11.7,11.5,0.00,0.00,3,100,8.4,14.4,0,0.0,10.9
2022-01-01T10:00,12.3,11.9,0.00,0.00,3,100,10.0,17.6,0,0.0,11.5
2022-01-01T11:00,12.7,12.1,0.20,0.00,51,100,10.7,19.8,0,0.0,11.8
2022-01-01T12:00,13.4,13.2,0.80,0.00,53,100,7.9,19.1,0,0.0,13.3
2022-01-01T13:00,13.5,13.3,2.10,0.00,61,100,5.9,14.0,1,1.0,13.7
2022-01-01T14:00,13.5,13.3,2.60,0.00,63,100,6.3,10.4,1,6.0,13.6
2022-01-01T15:00,13.4,13.4,2.40,0.00,61,100,4.3,8.6,1,17.0,13.9
2022-01-01T16:00,13.6,13.4,3.50,0.00,63,100,4.4,8.6,1,22.0,14.0
2022-01-01T17:00,14.2,14.1,1.70,0.00,61,100,4.4,10.8,1,47.0,14.9
2022-01-01T18:00,14.6,14.3,2.10,0.00,61,100,1.0,7.6,1,63.0,15.8
2022-01-01T19:00,15.3,14.6,0.10,0.00,51,100,4.6,9.7,1,114.0,16.1
2022-01-01T20:00,14.9,14.5,0.10,0.00,51,100,6.5,12.2,1,36.0,15.4
2022-01-01T21:00,14.7,14.5,0.00,0.00,3,100,5.9,12.2,1,15.0,15.3
2022-01-01T22:00,14.9,14.7,0.00,0.00,3,100,6.9,12.6,0,5.0,15.4
2022-01-01T23:00,15.3,15.0,0.00,0.00,3,100,8.6,15.5,0,0.0,15.7
2022-01-02T00:00,14.1,13.9,0.00,0.00,3,100,5.9,18.4,0,0.0,14.5
2022-01-02T01:00,15.2,14.9,0.70,0.00,53,100,9.2,16.9,0,0.0,15.5
2022-01-02T02:00,17.5,16.2,0.50,0.00,53,100,16.4,40.3,0,0.0,17.3
2022-01-02T03:00,15.3,14.2,3.10,0.00,63,100,11.7,42.5,0,0.0,14.9
2022-01-02T04:00,14.5,13.6,0.40,0.00,51,100,4.3,19.4,0,0.0,15.0
2022-01-02T05:00,14.2,13.4,1.00,0.00,55,100,8.9,17.6,0,0.0,14.0
2022-01-02T06:00,13.9,13.0,0.10,0.00,51,100,6.9,16.6,0,0.0,13.9
2022-01-02T07:00,13.3,12.7,0.00,0.00,3,100,3.9,12.2,0,0.0,13.6
2022-01-02T08:00,13.3,12.6,1.10,0.00,55,100,5.5,10.8,0,0.0,13.3
2022-01-02T09:00,13.2,12.4,2.40,0.00,61,100,7.2,12.6,0,0.0,12.9
2022-01-02T10:00,13.1,12.4,4.70,0.00,63,100,9.4,13.3,0,0.0,12.5
2022-01-02T11:00,13.3,12.3,1.90,0.00,61,100,7.6,19.4,0,0.0,12.9
2022-01-02T12:00,13.5,12.8,0.50,0.00,53,100,7.7,19.4,0,0.0,13.3
2022-01-02T13:00,14.2,13.1,0.00,0.00,3,100,10.7,20.2,1,2.0,13.6
