latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
42.14411,-80.01459,194.0,0,GMT,GMT

time,temperature_2m (°C),dew_point_2m (°C),precipitation (mm),snowfall (cm),weather_code (wmo code),cloud_cover (%),wind_speed_10m (km/h),wind_gusts_10m (km/h),is_day (),shortwave_radiation (W/m²),apparent_temperature (°C)
2022-01-01T00:00,4.5,3.8,0.00,0.00,3,100,9.0,7.6,0,0.0,1.7
2022-01-01T01:00,7.5,6.2,0.00,0.00,3,100,8.0,13.3,0,0.0,5.3
2022-01-01T02:00,7.9,6.4,0.00,0.00,3,100,11.8,19.8,0,0.0,5.2
2022-01-01T03:00,7.8,6.4,0.00,0.00,3,100,17.2,30.2,0,0.0,4.4
2022-01-01T04:00,8.6,6.5,0.00,0.00,3,100,20.8,36.7,0,0.0,4.6
2022-01-01T05:00,9.5,7.2,0.10,0.00,51,100,21.2,37.8,0,0.0,5.7
2022-01-01T06:00,9.2,7.4,0.60,0.00,53,100,15.1,38.2,0,0.0,6.3
2022-01-01T07:00,9.3,8.2,0.20,0.00,51,100,20.0,34.6,0,0.0,5.9
2022-01-01T08:00,10.5,9.3,0.00,0.00,3,100,21.0,36.4,0,0.0,7.2
2022-01-01T09:00,10.5,9.6,0.00,0.00,3,100,19.2,36.4,0,0.0,7.6
2022-01-01T10:00,10.1,9.5,0.00,0.00,3,100,17.0,33.1,0,0.0,7.5
2022-01-01T11:00,9.3,9.1,0.00,0.00,3,100,16.6,29.5,0,0.0,6.6
2022-01-01T12:00,8.6,8.5,0.00,0.00,3,100,11.2,28.4,0,0.0,6.5
2022-01-01T13:00,8.8,8.7,0.00,0.00,3,100,12.7,21.6,1,0.0,6.6
2022-01-01T14:00,8.0,8.0,0.00,0.00,3,100,9.7,21.6,1,17.0,6.0
2022-01-01T15:00,7.5,7.5,0.00,0.00,3,100,9.9,19.8,1,40.0,5.4
2022-01-01T16:00,6.8,6.0,0.10,0.00,51,100,8.7,18.7,1,68.0,4.5
2022-01-01T17:00,6.4,6.1,0.40,0.00,51,100,4.7,18.0,1,61.0,4.7
2022-01-01T18:00,6.2,6.2,0.40,0.00,51,100,7.2,14.8,1,71.0,4.2
2022-01-01T19:00,5.8,5.3,0.50,0.00,53,100,15.6,27.4,1,64.0,2.4
2022-01-01T20:00,4.7,4.3,0.60,0.00,53,100,19.0,35.6,1,54.0,0.6
2022-01-01T21:00,4.2,3.6,0.60,0.00,53,100,18.9,35.6,1,35.0,-0.1
2022-01-01T22:00,3.8,3.2,0.70,0.00,53,100,18.8,37.1,0,6.0,-0.6
2022-01-01T23:00,3.5,2.9,0.60,0.00,53,100,21.1,37.4,0,0.0,-1.3
2022-01-02T00:00,3.1,2.4,0.60,0.00,53,100,20.6,39.2,0,0.0,-1.7
2022-01-02T01:00,3.0,2.3,0.70,0.00,53,100,17.8,38.5,0,0.0,-1.3
2022-01-02T02:00,2.9,2.2,0.50,0.00,53,100,20.1,36.4,0,0.0,-1.8
2022-01-02T03:00,2.5,1.8,0.60,0.00,53,100,22.2,42.1,0,0.0,-2.6
2022-01-02T04:00,2.1,1.5,0.90,0.00,53,100,22.4,42.1,0,0.0,-3.1
2022-01-02T05:00,1.6,1.5,1.70,0.07,71,100,21.1,40.7,0,0.0,-3.4
2022-01-02T06:00,1.8,1.4,0.80,0.00,53,100,25.2,45.0,0,0.0,-3.8
2022-01-02T07:00,1.8,1.2,0.20,0.00,51,100,24.9,45.4,0,0.0,-3.8
2022-01-02T08:00,1.7,0.7,0.20,0.00,51,100,23.4,45.0,0,0.0,-3.8
2022-01-02T09:00,1.3,0.3,0.10,0.00,51,100,21.8,43.6,0,0.0,-3.9
2022-01-02T10:00,0.8,-0.1,0.30,0.14,71,100,24.4,46.1,0,0.0,-4.9
2022-01-02T11:00,0.3,-1.1,0.30,0.14,71,100,24.4,47.2,0,0.0,-5.5
2022-01-02T12:00,0.4,-1.2,0.30,0.21,73,100,23.1,46.8,0,0.0,-5.3
2022-01-02T13:00,-0.6,-2.2,0.50,0.35,73,100,24.0,46.4,1,0.0,-6.6
2022-01-02T14:00,-1.4,-2.8,0.80,0.56,73,100,22.7,45.7,1,5.0,-7.2
2022-01-02T15:00,-1.2,-3.1,0.20,0.14,71,100,19.9,42.8,1,48.0,-6.7
2022-01-02T16:00,-1.0,-3.1,0.10,0.07,71,100,19.9,39.2,1,117.0,-6.5
2022-01-02T17:00,-1.2,-3.7,0.20,0.14,71,100,20.1,39.6,1,170.0,-6.8
2022-01-02T18:00,-2.0,-4.3,0.30,0.21,73,100,20.3,40.0,1,88.0,-7.7
2022-01-02T19:00,-2.3,-5.0,0.30,0.21,73,100,21.0,40.7,1,74.0,-8.2
2022-01-02T20:00,-2.4,-5.5,0.30,0.21,73,100,18.1,40.7,1,73.0,-7.9
2022-01-02T21:00,-2.4,-5.8,0.10,0.07,71,100,13.8,34.9,1,49.0,-7.3
2022-01-02T22:00,-2.5,-6.0,0.10,0.07,71,100,10.8,27.0,0,14.0,-7.0
2022-01-02T23:00,-2.5,-6.3,0.00,0.00,3,100,10.2,21.2,0,0.0,-6.9
2022-01-03T00:00,-2.2,-6.0,0.00,0.00,3,100,10.0,24.1,0,0.0,-6.6
2022-01-03T01:00,-2.4,-6.9,0.10,0.07,71,100,14.6,28.1,0,0.0,-7.5
2022-01-03T02:00,-2.6,-8.1,0.00,0.00,3,100,16.8,32.4,0,0.0,-8.1
2022-01-03T03:00,-3.4,-8.6,0.00,0.00,3,100,17.1,34.9,0,0.0,-9.0
2022-01-03T04:00,-4.1,-8.7,0.00,0.00,3,100,15.7,33.1,0,0.0,-9.5
2022-01-03T05:00,-4.5,-8.9,0.00,0.00,3,100,14.6,31.0,0,0.0,-9.8
2022-01-03T06:00,-5.0,-9.2,0.00,0.00,3,100,15.2,31.0,0,0.0,-10.4
